Space ID,Room Location Area,Room Location,Room Location Section,Room Location Floor Suite,Room Base,Room Space,Room Type,Gender,Specialty Cd,Web Comments,Room Type Code,Short Name,Mandatory Meal Plan Flag
1,Student Village,10 Buick Street,10 Buick-01,10 Buick-0101,10 Buick-0101-A,10 Buick-0101-A-1,Apt-4Person-Single,Female,,http://www.bu.edu/housing/files/2014/10/10-Buick_1stFloor.jpg,AB,10 Buick,False
3,Student Village,10 Buick Street,10 Buick-01,10 Buick-0101,10 Buick-0101-B,10 Buick-0101-B-1,Apt-4Person-Single,Female,,http://www.bu.edu/housing/files/2014/10/10-Buick_1stFloor.jpg,AB,10 Buick,False
5,Student Village,10 Buick Street,10 Buick-01,10 Buick-0101,10 Buick-0101-C,10 Buick-0101-C-1,Apt-4Person-Single,Female,,http://www.bu.edu/housing/files/2014/10/10-Buick_1stFloor.jpg,AB,10 Buick,False
7,Student Village,10 Buick Street,10 Buick-01,10 Buick-0101,10 Buick-0101-D,10 Buick-0101-D-1,Apt-4Person-Single,Female,,http://www.bu.edu/housing/files/2014/10/10-Buick_1stFloor.jpg,AB,10 Buick,False
17,Student Village,10 Buick Street,10 Buick-01,10 Buick-0103,10 Buick-0103-A,10 Buick-0103-A-1,Apt-4Person-Single,Female,,http://www.bu.edu/housing/files/2014/10/10-Buick_1stFloor.jpg,AB,10 Buick,False
19,Student Village,10 Buick Street,10 Buick-01,10 Buick-0103,10 Buick-0103-B,10 Buick-0103-B-1,Apt-4Person-Single,Female,,http://www.bu.edu/housing/files/2014/10/10-Buick_1stFloor.jpg,AB,10 Buick,False
21,Student Village,10 Buick Street,10 Buick-01,10 Buick-0103,10 Buick-0103-C,10 Buick-0103-C-1,Apt-4Person-Single,Female,,http://www.bu.edu/housing/files/2014/10/10-Buick_1stFloor.jpg,AB,10 Buick,False
23,Student Village,10 Buick Street,10 Buick-01,10 Buick-0103,10 Buick-0103-D,10 Buick-0103-D-1,Apt-4Person-Single,Female,,http://www.bu.edu/housing/files/2014/10/10-Buick_1stFloor.jpg,AB,10 Buick,False
39,Student Village,10 Buick Street,10 Buick-01,10 Buick-0105,10 Buick-0105-A,10 Buick-0105-A-1,Apt-4Person-Single,Female,,http://www.bu.edu/housing/files/2014/10/10-Buick_1stFloor.jpg,AB,10 Buick,False
41,Student Village,10 Buick Street,10 Buick-01,10 Buick-0105,10 Buick-0105-B,10 Buick-0105-B-1,Apt-4Person-Single,Female,,http://www.bu.edu/housing/files/2014/10/10-Buick_1stFloor.jpg,AB,10 Buick,False
43,Student Village,10 Buick Street,10 Buick-01,10 Buick-0105,10 Buick-0105-C,10 Buick-0105-C-1,Apt-4Person-Single,Female,,http://www.bu.edu/housing/files/2014/10/10-Buick_1stFloor.jpg,AB,10 Buick,False
45,Student Village,10 Buick Street,10 Buick-01,10 Buick-0105,10 Buick-0105-D,10 Buick-0105-D-1,Apt-4Person-Single,Female,,http://www.bu.edu/housing/files/2014/10/10-Buick_1stFloor.jpg,AB,10 Buick,False
50,Student Village,10 Buick Street,10 Buick-01,10 Buick-0106,10 Buick-0106-A,10 Buick-0106-A-1,Apt-4Person-Single,Female,,http://www.bu.edu/housing/files/2014/10/10-Buick_1stFloor.jpg,AB,10 Buick,False
52,Student Village,10 Buick Street,10 Buick-01,10 Buick-0106,10 Buick-0106-B,10 Buick-0106-B-1,Apt-4Person-Single,Female,,http://www.bu.edu/housing/files/2014/10/10-Buick_1stFloor.jpg,AB,10 Buick,False
54,Student Village,10 Buick Street,10 Buick-01,10 Buick-0106,10 Buick-0106-C,10 Buick-0106-C-1,Apt-4Person-Single,Female,,http://www.bu.edu/housing/files/2014/10/10-Buick_1stFloor.jpg,AB,10 Buick,False
56,Student Village,10 Buick Street,10 Buick-01,10 Buick-0106,10 Buick-0106-D,10 Buick-0106-D-1,Apt-4Person-Single,Female,,http://www.bu.edu/housing/files/2014/10/10-Buick_1stFloor.jpg,AB,10 Buick,False
61,Student Village,10 Buick Street,10 Buick-02,10 Buick-0201,10 Buick-0201-A,10 Buick-0201-A-1,Apt-4Person-Single,Male,,http://www.bu.edu/housing/files/2014/10/10-Buick_2ndFloor.jpg,AB,10 Buick,False
63,Student Village,10 Buick Street,10 Buick-02,10 Buick-0201,10 Buick-0201-B,10 Buick-0201-B-1,Apt-4Person-Single,Male,,http://www.bu.edu/housing/files/2014/10/10-Buick_2ndFloor.jpg,AB,10 Buick,False
65,Student Village,10 Buick Street,10 Buick-02,10 Buick-0201,10 Buick-0201-C,10 Buick-0201-C-1,Apt-4Person-Single,Male,,http://www.bu.edu/housing/files/2014/10/10-Buick_2ndFloor.jpg,AB,10 Buick,False
67,Student Village,10 Buick Street,10 Buick-02,10 Buick-0201,10 Buick-0201-D,10 Buick-0201-D-1,Apt-4Person-Single,Male,,http://www.bu.edu/housing/files/2014/10/10-Buick_2ndFloor.jpg,AB,10 Buick,False
72,Student Village,10 Buick Street,10 Buick-02,10 Buick-0202,10 Buick-0202-A,10 Buick-0202-A-1,Apt-4Person-Single,Female,,http://www.bu.edu/housing/files/2014/10/10-Buick_2ndFloor.jpg,AB,10 Buick,False
74,Student Village,10 Buick Street,10 Buick-02,10 Buick-0202,10 Buick-0202-B,10 Buick-0202-B-1,Apt-4Person-Single,Female,,http://www.bu.edu/housing/files/2014/10/10-Buick_2ndFloor.jpg,AB,10 Buick,False
76,Student Village,10 Buick Street,10 Buick-02,10 Buick-0202,10 Buick-0202-C,10 Buick-0202-C-1,Apt-4Person-Single,Female,,http://www.bu.edu/housing/files/2014/10/10-Buick_2ndFloor.jpg,AB,10 Buick,False
78,Student Village,10 Buick Street,10 Buick-02,10 Buick-0202,10 Buick-0202-D,10 Buick-0202-D-1,Apt-4Person-Single,Female,,http://www.bu.edu/housing/files/2014/10/10-Buick_2ndFloor.jpg,AB,10 Buick,False
83,Student Village,10 Buick Street,10 Buick-02,10 Buick-0203,10 Buick-0203-A,10 Buick-0203-A-1,Apt-4Person-Single,Female,,http://www.bu.edu/housing/files/2014/10/10-Buick_2ndFloor.jpg,AB,10 Buick,False
85,Student Village,10 Buick Street,10 Buick-02,10 Buick-0203,10 Buick-0203-B,10 Buick-0203-B-1,Apt-4Person-Single,Female,,http://www.bu.edu/housing/files/2014/10/10-Buick_2ndFloor.jpg,AB,10 Buick,False
87,Student Village,10 Buick Street,10 Buick-02,10 Buick-0203,10 Buick-0203-C,10 Buick-0203-C-1,Apt-4Person-Single,Female,,http://www.bu.edu/housing/files/2014/10/10-Buick_2ndFloor.jpg,AB,10 Buick,False
89,Student Village,10 Buick Street,10 Buick-02,10 Buick-0203,10 Buick-0203-D,10 Buick-0203-D-1,Apt-4Person-Single,Female,,http://www.bu.edu/housing/files/2014/10/10-Buick_2ndFloor.jpg,AB,10 Buick,False
94,Student Village,10 Buick Street,10 Buick-02,10 Buick-0204,10 Buick-0204-A,10 Buick-0204-A-1,Apt-4Person-Single,CoEd,,http://www.bu.edu/housing/files/2014/10/10-Buick_2ndFloor.jpg,AB,10 Buick,False
96,Student Village,10 Buick Street,10 Buick-02,10 Buick-0204,10 Buick-0204-B,10 Buick-0204-B-1,Apt-4Person-Single,CoEd,,http://www.bu.edu/housing/files/2014/10/10-Buick_2ndFloor.jpg,AB,10 Buick,False
98,Student Village,10 Buick Street,10 Buick-02,10 Buick-0204,10 Buick-0204-C,10 Buick-0204-C-1,Apt-4Person-Single,CoEd,,http://www.bu.edu/housing/files/2014/10/10-Buick_2ndFloor.jpg,AB,10 Buick,False
100,Student Village,10 Buick Street,10 Buick-02,10 Buick-0204,10 Buick-0204-D,10 Buick-0204-D-1,Apt-4Person-Single,CoEd,,http://www.bu.edu/housing/files/2014/10/10-Buick_2ndFloor.jpg,AB,10 Buick,False
110,Student Village,10 Buick Street,10 Buick-02,10 Buick-0206,10 Buick-0206-A,10 Buick-0206-A-1,Apt-2Person-Single,Female,,http://www.bu.edu/housing/files/2014/10/10-Buick_2ndFloor.jpg,AT,10 Buick,False
112,Student Village,10 Buick Street,10 Buick-02,10 Buick-0206,10 Buick-0206-B,10 Buick-0206-B-1,Apt-2Person-Single,Female,,http://www.bu.edu/housing/files/2014/10/10-Buick_2ndFloor.jpg,AT,10 Buick,False
117,Student Village,10 Buick Street,10 Buick-02,10 Buick-0207,10 Buick-0207-A,10 Buick-0207-A-1,Apt-4Person-Single,Female,,http://www.bu.edu/housing/files/2014/10/10-Buick_2ndFloor.jpg,AB,10 Buick,False
119,Student Village,10 Buick Street,10 Buick-02,10 Buick-0207,10 Buick-0207-B,10 Buick-0207-B-1,Apt-4Person-Single,Female,,http://www.bu.edu/housing/files/2014/10/10-Buick_2ndFloor.jpg,AB,10 Buick,False
121,Student Village,10 Buick Street,10 Buick-02,10 Buick-0207,10 Buick-0207-C,10 Buick-0207-C-1,Apt-4Person-Single,Female,,http://www.bu.edu/housing/files/2014/10/10-Buick_2ndFloor.jpg,AB,10 Buick,False
123,Student Village,10 Buick Street,10 Buick-02,10 Buick-0207,10 Buick-0207-D,10 Buick-0207-D-1,Apt-4Person-Single,Female,,http://www.bu.edu/housing/files/2014/10/10-Buick_2ndFloor.jpg,AB,10 Buick,False
128,Student Village,10 Buick Street,10 Buick-02,10 Buick-0208,10 Buick-0208-A,10 Buick-0208-A-1,Apt-4Person-Single,Male,,http://www.bu.edu/housing/files/2014/10/10-Buick_2ndFloor.jpg,AB,10 Buick,False
130,Student Village,10 Buick Street,10 Buick-02,10 Buick-0208,10 Buick-0208-B,10 Buick-0208-B-1,Apt-4Person-Single,Male,,http://www.bu.edu/housing/files/2014/10/10-Buick_2ndFloor.jpg,AB,10 Buick,False
